Sample_ID,Iteration,C1,C2,C3,C4,C5,M1,M2,M3,M4
1,0,0.45,10.11,4.56,19.08,65.8,329.0,171.0,30.3,38.1
2,0,0.0,13.08,3.55,15.6,67.77,47.2,0.0112,0.0062,0.179
3,0,0.03,19.68,3.92,2.23,74.15,662.0,0.125,0.275,4.88
4,0,0.14,6.48,8.07,27.04,58.27,8.0,0.0019,0.0047,0.192
5,0,0.02,4.57,0.78,35.62,59.01,7.52,0.021,0.002,0.011
6,1,0.2,13.57,3.56,14.73,67.94,29.0,0.00472,12.8,5.21
7,1,0.2,13.44,4.25,16.29,65.82,10.2,0.00197,7.59,3.27
8,1,0.56,19.66,4.52,13.44,61.81,205.0,104.0,191.0,41.2
9,1,0.2,12.33,2.99,15.9,68.59,20.5,0.00293,10.2,3.76
10,2,0.9,9.53,4.37,27.76,57.44,145.0,30.7,12.6,28.3
11,2,1.42,3.97,2.56,25.45,66.63,1810.0,1050.0,96.0,147.0
12,2,1.31,5.5,8.12,30.0,55.27,330.0,182.0,52.7,48.9
13,2,0.65,15.39,9.43,2.0,72.52,284.0,0.0479,22.5,115.0
14,3,1.44,0.4,6.39,15.42,76.35,11100.0,2790.0,410.0,483.0
15,3,1.05,15.39,8.54,18.25,56.78,610.0,503.0,128.0,70.7
16,3,1.12,12.48,8.66,16.15,61.59,417.0,259.0,71.2,54.0
17,3,0.78,13.23,1.77,24.52,59.7,601.0,436.0,104.0,66.0
18,4,1.4,4.5,10.84,3.27,79.99,74100.0,10800.0,258.0,2210.0
19,5,0.31,19.97,0.03,24.63,55.06,2.22,0.000595,0.0988,2.01
20,6,0.28672561984838857,0.007581016502740123,0.4866976331352404,29.954358843497197,69.26463688701644,,,,
